relation,count,distinct_heads,distinct_tails,distinct_pairs,specificity
có IF,1,1,1,1,1.0
tốt nghiệp trước,1,1,1,1,1.0
muốn theo học tại,1,1,1,1,1.0
muốn theo học từ,1,1,1,1,1.0
được áp dụng từ,1,1,1,1,1.0
thuộc chương trình liên kết với,1,1,1,1,1.0
học viên của,1,1,1,1,1.0
giao thông tin,1,1,1,1,1.0
nhận vào ngày,1,1,1,1,1.0
học cùng lúc,1,1,1,1,1.0
chỉ tích lũy một lần,1,1,1,1,1.0
tương đương về,1,1,1,1,1.0
tích lũy đủ,1,1,1,1,1.0
tích lũy đủ số tín chỉ theo,1,1,1,1,1.0
có thể xếp loại,1,1,1,1,1.0
phải được công nhận,1,1,1,1,1.0
được chuyển đổi sang,1,1,1,1,1.0
cần xem xét công nhận tương đương,1,1,1,1,1.0
phải đạt chuẩn,1,1,1,1,1.0
không được chuyển,1,1,1,1,1.0
ngoài,1,1,1,1,1.0
quy định cơ chế,1,1,1,1,1.0
do Chính phủ ban hành,1,1,1,1,1.0
quy định mức học,1,1,1,1,1.0
được áp dụng mức trần,1,1,1,1,1.0
tự quyết định,1,1,1,1,1.0
"được sửa đổi, bổ sung bởi",1,1,1,1,1.0
"sửa đổi, bổ sung",1,1,1,1,1.0
chi trả trực tiếp,1,1,1,1,1.0
phải đầy đủ,1,1,1,1,1.0
"thanh toán, chi trả",1,1,1,1,1.0
gây ra nghĩa vụ,1,1,1,1,1.0
được ĐHQGHN cập nhật,1,1,1,1,1.0
được thông báo công khai tại,1,1,1,1,1.0
"làm hồ sơ đăng ký xét, cấp học bổng",1,1,1,1,1.0
thông báo công khai,1,1,1,1,1.0
xét để lựa chọn,1,1,1,1,1.0
do đơn vị tổ chức,1,1,1,1,1.0
các đơn vị báo cáo,1,1,1,1,1.0
dành ít nhất,1,1,1,1,1.0
được quản lý hồ sơ,1,1,1,1,1.0
trang trải,1,1,1,1,1.0
tích cực phấn đấu,1,1,1,1,1.0
quy định trách nhiệm của,1,1,1,1,1.0
điều chỉnh trong giai đoạn,1,1,1,1,1.0
do cơ quan nhà nước ban hành,1,1,1,1,1.0
được hợp nhất tại,1,1,1,1,1.0
ủy quyền cho,1,1,1,1,1.0
thông báo để dừng,1,1,1,1,1.0
tiếp tục thực hiện chi trả cho,1,1,1,1,1.0
kèm theo hồ sơ xác nhận theo,1,1,1,1,1.0
thuộc đối tượng được cấp cho,1,1,1,1,1.0
lập danh sách kèm theo,1,1,1,1,1.0
giáo dục,1,1,1,1,1.0
được xác nhận theo,1,1,1,1,1.0
là căn cứ đối với,1,1,1,1,1.0
không có khả năng tham gia,1,1,1,1,1.0
không đáp ứng yêu cầu chung,1,1,1,1,1.0
được điều chỉnh tùy thuộc,1,1,1,1,1.0
được đánh giá khi tiếp tục,1,1,1,1,1.0
cung cấp ý kiến nhận xét cho,1,1,1,1,1.0
được công nhận trước,1,1,1,1,1.0
"bị địch bắt tù, đày",1,1,1,1,1.0
thực hiện trước,1,1,1,1,1.0
nhận email tại,1,1,1,1,1.0
gửi dưới dạng,1,1,1,1,1.0
bao gồm bản scan,1,1,1,1,1.0
cần có đầy đủ,1,1,1,1,1.0
nộp bổ sung,1,1,1,1,1.0
phải làm theo,1,1,1,1,1.0
cần nộp trong,1,1,1,1,1.0
yêu cầu hoàn thành việc nộp vào ngày,1,1,1,1,1.0
không tiếp nhận giải đáp sau,1,1,1,1,1.0
không được tiếp nhận sau,1,1,1,1,1.0
đăng tải nội dung về,1,1,1,1,1.0
thuộc độ tuổi,1,1,1,1,1.0
thuộc đối tượng hưởng trợ cấp,1,1,1,1,1.0
không có tên,1,1,1,1,1.0
được nhận thông qua,1,1,1,1,1.0
cần kèm,1,1,1,1,1.0
nhận thông qua,1,1,1,1,1.0
được miễn/giảm,1,1,1,1,1.0
chỉ được miễn/giảm theo,1,1,1,1,1.0
triển khai chính sách cho,1,1,1,1,1.0
được nhắc nhở bởi,1,1,1,1,1.0
được nộp đúng thời hạn bởi,1,1,1,1,1.0
được tính đến hết ngày,1,1,1,1,1.0
được tiếp tục thu đến,1,1,1,1,1.0
là mốc cuối thu hồ sơ,1,1,1,1,1.0
phòng CTSV sẽ kính trình,1,1,1,1,1.0
thực hiện theo trình tự công việc,1,1,1,1,1.0
truyền thông qua,1,1,1,1,1.0
bậc nhất,1,1,1,1,1.0
cần kỹ năng tốt về,1,1,1,1,1.0
đạt thành quả tại,1,1,1,1,1.0
năm tốt nghiệp dự kiến,1,1,1,1,1.0
chia sẻ thông tin về,1,1,1,1,1.0
kết nối đến,1,1,1,1,1.0
chia sẻ trải nghiệm tại,1,1,1,1,1.0
được lập từ,1,1,1,1,1.0
đang trong giai đoạn,1,1,1,1,1.0
không có học phần điểm dưới,1,1,1,1,1.0
đã học từ,1,1,1,1,1.0
đăng ký đủ tối đa số tín chỉ theo,1,1,1,1,1.0
có đề xuất xét đặc cách cho,1,1,1,1,1.0
họp ngày,1,1,1,1,1.0
được dùng để nhận,1,1,1,1,1.0
được xét chọn theo,1,1,1,1,1.0
được nêu làm căn cứ bởi,1,1,1,1,1.0
thống nhất với,1,1,1,1,1.0
không thực hiện theo,1,1,1,1,1.0
năm học áp dụng,1,1,1,1,1.0
xét chọn sơ bộ,1,1,1,1,1.0
gửi công văn sang,1,1,1,1,1.0
làm công văn gửi,1,1,1,1,1.0
thu hồ sơ trong,1,1,1,1,1.0
làm công văn trong,1,1,1,1,1.0
gửi hồ sơ đến,1,1,1,1,1.0
điền thông tin vào,1,1,1,1,1.0
do tài trợ bởi,1,1,1,1,1.0
báo lại,1,1,1,1,1.0
nhận được công văn từ,1,1,1,1,1.0
được nêu trong thông tin học bổng,1,1,1,1,1.0
chọn từ,1,1,1,1,1.0
dự kiến tổ chức vào,1,1,1,1,1.0
phải có xác nhận của,1,1,1,1,1.0
được đề nghị xem thông tin,1,1,1,1,1.0
là thời hạn cuối nộp,1,1,1,1,1.0
xin thông báo,1,1,1,1,1.0
được kiểm tra bởi,1,1,1,1,1.0
được nhắc trong ngữ cảnh,1,1,1,1,1.0
khởi xướng,1,1,1,1,1.0
có chuỗi hoạt động,1,1,1,1,1.0
có mức giá,1,1,1,1,1.0
có mục học phí,1,1,1,1,1.0
tương ứng thời gian,1,1,1,1,1.0
được áp dụng định mức như,1,1,1,1,1.0
quy chiếu theo,1,1,1,1,1.0
cộng thêm vào,1,1,1,1,1.0
được quy chế bởi,1,1,1,1,1.0
mỗi suất trị giá,1,1,1,1,1.0
được quy đổi bằng,1,1,1,1,1.0
đạt tiêu chí về,1,1,1,1,1.0
tổ chức cấp,1,1,1,1,1.0
chưa đồng ý,1,1,1,1,1.0
cho tôi thi,1,1,1,1,1.0
bắt đầu đảm nhận,1,1,1,1,1.0
giữ cương vị,1,1,1,1,1.0
học cách thiết kế mô phỏng,1,1,1,1,1.0
học cách sử dụng,1,1,1,1,1.0
liên quan mật thiết tới,1,1,1,1,1.0
là đóng góp cho,1,1,1,1,1.0
chủ yếu tập trung vào,1,1,1,1,1.0
được định hướng tập trung vào,1,1,1,1,1.0
tập trung trên,1,1,1,1,1.0
được kỳ vọng dẫn đến,1,1,1,1,1.0
nỗ lực và học tập,1,1,1,1,1.0
làm động lực cho,1,1,1,1,1.0
tiếc nuối vì,1,1,1,1,1.0
không đăng ký nghiên cứu tại,1,1,1,1,1.0
nhận ra phù hợp với,1,1,1,1,1.0
không phù hợp với,1,1,1,1,1.0
có ý nghĩa thực tiễn,1,1,1,1,1.0
đem lại giá trị cho,1,1,1,1,1.0
có lựa chọn,1,1,1,1,1.0
có đại diện trong,1,1,1,1,1.0
đã gửi lời cảm ơn đến,1,1,1,1,1.0
đặt ra đối với,1,1,1,1,1.0
chiếm 70%,1,1,1,1,1.0
luôn tạo điều kiện cho,1,1,1,1,1.0
tạo điều kiện từ,1,1,1,1,1.0
thu hút đầu tư kinh phí từ,1,1,1,1,1.0
nâng cao độ tin cậy,1,1,1,1,1.0
tổ chức ngày,1,1,1,1,1.0
hoạt động kinh doanh trong lĩnh vực,1,1,1,1,1.0
trao quà lưu niệm,1,1,1,1,1.0
được thay đổi thành,1,1,1,1,1.0
được chọn để học tập,1,1,1,1,1.0
là nơi học tập nghiên cứu,1,1,1,1,1.0
thành lập bộ môn,1,1,1,1,1.0
là bộ môn mới,1,1,1,1,1.0
làm nghiên cứu sinh,1,1,1,1,1.0
theo hướng nghiên cứu hiện đại của,1,1,1,1,1.0
làm nghiên cứu tại,1,1,1,1,1.0
được trang bị kiến thức bởi,1,1,1,1,1.0
được hoàn thành khi,1,1,1,1,1.0
làm thực tập sinh thêm,1,1,1,1,1.0
được biết đến là cái nôi của,1,1,1,1,1.0
tham sự từ,1,1,1,1,1.0
triển lãm,1,1,1,1,1.0
làm chủ nhiệm,1,1,1,1,1.0
là Phó Chủ nhiệm,1,1,1,1,1.0
hoặc trên,1,1,1,1,1.0
được ban hành năm,1,1,1,1,1.0
chuyển hóa thành,1,1,1,1,1.0
trước Lễ ký kết,1,1,1,1,1.0
trọng dụng,1,1,1,1,1.0
đãi ngộ,1,1,1,1,1.0
tạo động lực gia tăng,1,1,1,1,1.0
đặc biệt chú trọng tại,1,1,1,1,1.0
tham gia giải quyết,1,1,1,1,1.0
được đạt bởi,1,1,1,1,1.0
đồng hành trong,1,1,1,1,1.0
có phát biểu tại,1,1,1,1,1.0
được đề nghị thành lập tại,1,1,1,1,1.0
ra quyết định thành lập,1,1,1,1,1.0
được tiến hành tại,1,1,1,1,1.0
được tách riêng,1,1,1,1,1.0
hoàn thành việc tổ chức,1,1,1,1,1.0
gửi hồ sơ,1,1,1,1,1.0
có hạn cuối,1,1,1,1,1.0
"được Khoa, Viện, Bộ môn cử dự thi",1,1,1,1,1.0
được tham khảo từ,1,1,1,1,1.0
hoạt động trong giai đoạn,1,1,1,1,1.0
có năng lực phát triển,1,1,1,1,1.0
thể hiện trách nhiệm,1,1,1,1,1.0
đề xuất giải pháp cho,1,1,1,1,1.0
bảo trì,1,1,1,1,1.0
được xét kết quả,1,1,1,1,1.0
do TS. Trần Quốc Long quản lý,1,1,1,1,1.0
là công ty khởi nghiệp trong lĩnh vực,1,1,1,1,1.0
có sứ mệnh phát triển,1,1,1,1,1.0
tham gia hợp tác thông qua,1,1,1,1,1.0
được mở tới,1,1,1,1,1.0
miễn phí,1,1,1,1,1.0
cho phép khám phá,1,1,1,1,1.0
chia sẻ kinh nghiệm về,1,1,1,1,1.0
có quyết tâm,1,1,1,1,1.0
có thời hạn trước,1,1,1,1,1.0
là Viện trưởng,1,1,1,1,1.0
có Phó Viện trưởng,1,1,1,1,1.0
là vai trò của,1,1,1,1,1.0
khẩn trương triển khai,1,1,1,1,1.0
thực hiện hỗ trợ,1,1,1,1,1.0
xây dựng để trở thành,1,1,1,1,1.0
có sự phát biểu của,1,1,1,1,1.0
đã để lại dấu ấn,1,1,1,1,1.0
thiết lập quan hệ với,1,1,1,1,1.0
thuộc về chủ đề,1,1,1,1,1.0
định vị,1,1,1,1,1.0
mở ra ngành đào tạo,1,1,1,1,1.0
tồn tại dưới dạng,1,1,1,1,1.0
được trình bày như,1,1,1,1,1.0
lên sóng,1,1,1,1,1.0
tư vấn tuyển sinh,1,1,1,1,1.0
tổ chức tư vấn tuyển sinh,1,1,1,1,1.0
đến tham quan,1,1,1,1,1.0
diễn ra sự kiện tại,1,1,1,1,1.0
nhận hướng dẫn định hướng nghề nghiệp từ,1,1,1,1,1.0
tham gia tư vấn trực tiếp,1,1,1,1,1.0
cựu sinh viên của,1,1,1,1,1.0
xây dựng tại,1,1,1,1,1.0
tập trung triển khai,1,1,1,1,1.0
nêu rằng,1,1,1,1,1.0
được tìm thấy tại,1,1,1,1,1.0
được quan sát tại,1,1,1,1,1.0
giúp nhìn ra,1,1,1,1,1.0
cố gắng học hỏi,1,1,1,1,1.0
rất quan trọng cho,1,1,1,1,1.0
giúp đạt được,1,1,1,1,1.0
không sợ đói vì,1,1,1,1,1.0
giúp đuổi kịp,1,1,1,1,1.0
sẽ bị,1,1,1,1,1.0
được kỳ vọng bởi,1,1,1,1,1.0
phát triển và cài đặt,1,1,1,1,1.0
tự động phát hiện,1,1,1,1,1.0
cho phép sử dụng như,1,1,1,1,1.0
cho phép sử dụng để,1,1,1,1,1.0
cho phép cài đặt,1,1,1,1,1.0
tùy biến theo,1,1,1,1,1.0
mở đầu,1,1,1,1,1.0
bổ sung vào,1,1,1,1,1.0
có số lượng sinh viên khởi nghiệp lớn nhất,1,1,1,1,1.0
đang được chú trọng bởi,1,1,1,1,1.0
quan tâm khuyến khích,1,1,1,1,1.0
có thêm ngành mới,1,1,1,1,1.0
cho thấy triển vọng,1,1,1,1,1.0
tăng đáng kể,1,1,1,1,1.0
có tỷ lệ thấp hơn,1,1,1,1,1.0
sẵn sàng,1,1,1,1,1.0
từng tư vấn,1,1,1,1,1.0
từng hỗ trợ,1,1,1,1,1.0
từng giới thiệu việc làm,1,1,1,1,1.0
thực hiện miễn phí,1,1,1,1,1.0
bị thôi thúc từ bỏ,1,1,1,1,1.0
dành toàn bộ tâm huyết cho,1,1,1,1,1.0
từng dạy,1,1,1,1,1.0
thấy trưởng thành là quan trọng,1,1,1,1,1.0
được người kể quan sát trưởng thành,1,1,1,1,1.0
dạy kèm,1,1,1,1,1.0
được khởi động,1,1,1,1,1.0
biết trước,1,1,1,1,1.0
chưa thể kiếm được,1,1,1,1,1.0
may mắn vì,1,1,1,1,1.0
khó chấp nhận,1,1,1,1,1.0
không dễ,1,1,1,1,1.0
đánh vào,1,1,1,1,1.0
muốn tiếp nhận,1,1,1,1,1.0
được kiểm soát,1,1,1,1,1.0
tiếp xúc,1,1,1,1,1.0
còn nhỏ lẻ,1,1,1,1,1.0
chỉ dừng ở,1,1,1,1,1.0
chưa đi kèm,1,1,1,1,1.0
là yếu tố sống còn,1,1,1,1,1.0
tiếp bước trong tương lai,1,1,1,1,1.0
được rút ra bài học từ,1,1,1,1,1.0
không nên đợi thay đổi,1,1,1,1,1.0
không thể sánh kịp,1,1,1,1,1.0
không nên đợi,1,1,1,1,1.0
không thể theo kịp,1,1,1,1,1.0
thay đổi với tốc độ cao hơn,1,1,1,1,1.0
nên nắm lấy bởi,1,1,1,1,1.0
bập bẹ học,1,1,1,1,1.0
có thể tiến xa đến,1,1,1,1,1.0
tốt nghiệp loại,1,1,1,1,1.0
là Phó chủ tịch,1,1,1,1,1.0
ký hợp đồng năm,1,1,1,1,1.0
làm sớm tại,1,1,1,1,1.0
nộp đơn xin tuyển dụng,1,1,1,1,1.0
lo lắng về việc,1,1,1,1,1.0
được tiếp nhận,1,1,1,1,1.0
giúp đỡ khi,1,1,1,1,1.0
tham gia nhiều,1,1,1,1,1.0
tạo môi trường giúp,1,1,1,1,1.0
thời điểm tốt nghiệp,1,1,1,1,1.0
có phương thức giao tiếp với,1,1,1,1,1.0
báo cáo cho,1,1,1,1,1.0
chính thức được ra mắt,1,1,1,1,1.0
chiến đấu trên sân nhà,1,1,1,1,1.0
không đối đầu với,1,1,1,1,1.0
nhằm gia tăng,1,1,1,1,1.0
chinh phục thị trường bằng,1,1,1,1,1.0
muốn trải nghiệm,1,1,1,1,1.0
gọi vốn trong,1,1,1,1,1.0
được Kyber Network phát triển,1,1,1,1,1.0
tăng số thành viên lên,1,1,1,1,1.0
đi vào production,1,1,1,1,1.0
cùng xây dựng,1,1,1,1,1.0
theo sau là,1,1,1,1,1.0
được kể lại bởi,1,1,1,1,1.0
khiến việc liên lạc,1,1,1,1,1.0
xuất hiện sau,1,1,1,1,1.0
tự hỏi về,1,1,1,1,1.0
chọn ngành,1,1,1,1,1.0
chụp hình kỷ niệm với,1,1,1,1,1.0
đang ngồi,1,1,1,1,1.0
di chuyển,1,1,1,1,1.0
được giải mã,1,1,1,1,1.0
có tuyển chọn,1,1,1,1,1.0
có gặp gỡ,1,1,1,1,1.0
được phỏng vấn cho,1,1,1,1,1.0
không hẳn,1,1,1,1,1.0
có điểm nhấn,1,1,1,1,1.0
là người duy nhất không đoạt,1,1,1,1,1.0
dẫn tới nhận thức,1,1,1,1,1.0
khiến tôi phải,1,1,1,1,1.0
tham gia ứng tuyển,1,1,1,1,1.0
tôi chinh phục,1,1,1,1,1.0
nhắc mình phải,1,1,1,1,1.0
được tránh,1,1,1,1,1.0
góp phần tạo nền tảng cho,1,1,1,1,1.0
được xây dựng và phát triển trong,1,1,1,1,1.0
được mời bởi,1,1,1,1,1.0
tuyển sinh được,1,1,1,1,1.0
có quy mô đào tạo,1,1,1,1,1.0
tăng số lượng,1,1,1,1,1.0
triển khai dạy-học online,1,1,1,1,1.0
được xây dựng và đưa vào sử dụng,1,1,1,1,1.0
nhằm đánh giá kết quả,1,1,1,1,1.0
tạo diễn đàn để trao đổi giải pháp,1,1,1,1,1.0
là minh chứng cho,1,1,1,1,1.0
đồng hành và hỗ trợ,1,1,1,1,1.0
bị động do,1,1,1,1,1.0
ngày càng,1,1,1,1,1.0
được phân tích trong,1,1,1,1,1.0
cần phù hợp với,1,1,1,1,1.0
đưa ý kiến tại,1,1,1,1,1.0
tăng quy mô tuyển sinh,1,1,1,1,1.0
thực hiện hoạt động trên,1,1,1,1,1.0
là năm,1,1,1,1,1.0
là hạt nhân,1,1,1,1,1.0
tạo sự,1,1,1,1,1.0
đạt thành,1,1,1,1,1.0
là địa chỉ đào tạo,1,1,1,1,1.0
đồng ý chọn,1,1,1,1,1.0
là nước chủ trì,1,1,1,1,1.0
trình bày theo hình thức,1,1,1,1,1.0
cần thể hiện rõ,1,1,1,1,1.0
có gian trưng bày,1,1,1,1,1.0
chia sản phẩm thành,1,1,1,1,1.0
chung tay,1,1,1,1,1.0
là mở đầu,1,1,1,1,1.0
thuộc nhóm sản phẩm,1,1,1,1,1.0
thực hiện luận án về,1,1,1,1,1.0
do ai đó bởi,1,1,1,1,1.0
mã số chuyên ngành,1,1,1,1,1.0
trình độ đào tạo,1,1,1,1,1.0
tên văn bằng tốt nghiệp,1,1,1,1,1.0
tên ngành,1,1,1,1,1.0
tên ngành tiếng Anh,1,1,1,1,1.0
tên chuyên ngành,1,1,1,1,1.0
tên chuyên ngành tiếng Anh,1,1,1,1,1.0
có liên quan trong tài liệu,1,1,1,1,1.0
có tên chuyên ngành,1,1,1,1,1.0
được nhận thêm,1,1,1,1,1.0
tạo môi trường giao lưu,1,1,1,1,1.0
xuất phát,1,1,1,1,1.0
đếm ngược đến,1,1,1,1,1.0
từ đó nảy sinh ý tưởng,1,1,1,1,1.0
giúp người dùng có,1,1,1,1,1.0
lên kế hoạch và làm ra,1,1,1,1,1.0
được bán,1,1,1,1,1.0
có ý định,1,1,1,1,1.0
được TS. Tú tìm hiểu,1,1,1,1,1.0
được tạo ra theo,1,1,1,1,1.0
yêu cầu áp dụng cho bà con,1,1,1,1,1.0
tự trồng,1,1,1,1,1.0
được chiếu sáng bởi,1,1,1,1,1.0
tiếp tục đánh giá,1,1,1,1,1.0
không làm giảm,1,1,1,1,1.0
quan tâm đúng đắn đến,1,1,1,1,1.0
đăng tải lên,1,1,1,1,1.0
cán mốc,1,1,1,1,1.0
trong thời gian 2 tháng có,1,1,1,1,1.0
phần lớn là,1,1,1,1,1.0
được người dùng ủng hộ,1,1,1,1,1.0
tiếp tục cập nhật,1,1,1,1,1.0
thực hiện sản phẩm,1,1,1,1,1.0
được phân công tham gia,1,1,1,1,1.0
giao nhiệm vụ tại,1,1,1,1,1.0
có vai trò quan trọng theo phát biểu,1,1,1,1,1.0
không tự tin vào,1,1,1,1,1.0
tốt,1,1,1,1,1.0
tự tin hơn vào,1,1,1,1,1.0
nhận ra rằng cần,1,1,1,1,1.0
đạt được khi kết thúc,1,1,1,1,1.0
đúng đắn,1,1,1,1,1.0
phát triển và rèn luyện,1,1,1,1,1.0
nắm chắc,1,1,1,1,1.0
có được,1,1,1,1,1.0
được mời làm việc bởi,1,1,1,1,1.0
đánh giá cao bởi,1,1,1,1,1.0
muốn thử sức tại,1,1,1,1,1.0
tiếp tục nỗ lực,1,1,1,1,1.0
chủ động liên hệ với,1,1,1,1,1.0
hướng tới việc,1,1,1,1,1.0
giúp em tiếp thu,1,1,1,1,1.0
chú ý,1,1,1,1,1.0
ghi chép,1,1,1,1,1.0
ham học hỏi,1,1,1,1,1.0
nhận bằng tại,1,1,1,1,1.0
có tỷ lệ tốt nghiệp,1,1,1,1,1.0
chiếm ít nhất,1,1,1,1,1.0
tuyển sinh tăng,1,1,1,1,1.0
tăng trung bình,1,1,1,1,1.0
nhận chỉ đạo,1,1,1,1,1.0
được chỉ đạo,1,1,1,1,1.0
tiến hành áp dụng,1,1,1,1,1.0
tăng tốc độ,1,1,1,1,1.0
được trích xuất,1,1,1,1,1.0
khai thác tiềm năng của,1,1,1,1,1.0
có cơ hội giành,1,1,1,1,1.0
có thêm tiêu chí,1,1,1,1,1.0
được dùng để cộng điểm,1,1,1,1,1.0
xếp vào,1,1,1,1,1.0
được hưởng chương trình,1,1,1,1,1.0
nhắm đến dịp,1,1,1,1,1.0
từng mong muốn,1,1,1,1,1.0
gánh nặng chi phí,1,1,1,1,1.0
bao gồm kỳ II,1,1,1,1,1.0
bao gồm kỳ 1,1,1,1,1,1.0
bao gồm kỳ I,1,1,1,1,1.0
là nữ sinh viên,1,1,1,1,1.0
cảm thấy hạnh phúc vì,1,1,1,1,1.0
cùng nhau học tập với,1,1,1,1,1.0
định hướng tương lai cùng,1,1,1,1,1.0
bật mí,1,1,1,1,1.0
chăm chỉ lắng nghe,1,1,1,1,1.0
kết hợp tìm kiếm,1,1,1,1,1.0
nghiên cứu và hiểu sâu hơn,1,1,1,1,1.0
trân quý,1,1,1,1,1.0
được chấm điểm,1,1,1,1,1.0
được đạt trong năm học,1,1,1,1,1.0
là kỳ thi của,1,1,1,1,1.0
vô địch miền Bắc,1,1,1,1,1.0
chính thức công bố,1,1,1,1,1.0
báo trước,1,1,1,1,1.0
chụp ảnh kỷ niệm cùng,1,1,1,1,1.0
diễn ra như,1,1,1,1,1.0
thực hiện bằng hình thức,1,1,1,1,1.0
bất ngờ với,1,1,1,1,1.0
tạo nguồn cảm hứng cho,1,1,1,1,1.0
hết mình trong,1,1,1,1,1.0
được giúp để,1,1,1,1,1.0
làm quen và,1,1,1,1,1.0
đồng thời diễn ra với,1,1,1,1,1.0
được tham gia cùng,1,1,1,1,1.0
truyền động lực cho,1,1,1,1,1.0
được đăng ký bởi,1,1,1,1,1.0
giữ liên hệ,1,1,1,1,1.0
được chia sẻ với,1,1,1,1,1.0
bỏ túi,1,1,1,1,1.0
thu được từ,1,1,1,1,1.0
làm phong phú,1,1,1,1,1.0
bộc bạch,1,1,1,1,1.0
có nỗ lực cho,1,1,1,1,1.0
từng là học sinh tại,1,1,1,1,1.0
vui tươi,1,1,1,1,1.0
là diễn viên,1,1,1,1,1.0
tự tin hơn,1,1,1,1,1.0
đồng phối hợp,1,1,1,1,1.0
được dùng trong hội thảo,1,1,1,1,1.0
tham gia theo phía,1,1,1,1,1.0
rẻ bằng,1,1,1,1,1.0
có hiệu suất bắt tín hiệu,1,1,1,1,1.0
là trạm di động,1,1,1,1,1.0
không bị giới hạn,1,1,1,1,1.0
là thành viên chính của,1,1,1,1,1.0
bắt tay triển khai vào,1,1,1,1,1.0
bối cảnh,1,1,1,1,1.0
được nhóm làm chủ thiết kế,1,1,1,1,1.0
có cấu tạo gồm,1,1,1,1,1.0
được truyền tới,1,1,1,1,1.0
gửi tín hiệu tới,1,1,1,1,1.0
có tốc độ đáp ứng,1,1,1,1,1.0
có khả năng bám,1,1,1,1,1.0
bắt được tín hiệu trong,1,1,1,1,1.0
có phương tiện thông tin liên lạc bằng,1,1,1,1,1.0
đã được đặt hàng bởi,1,1,1,1,1.0
liên quan đến mục tiêu,1,1,1,1,1.0
vận dụng linh hoạt,1,1,1,1,1.0
thu hút nguồn nhân lực,1,1,1,1,1.0
được áp dụng để xây dựng,1,1,1,1,1.0
được báo cáo tại,1,1,1,1,1.0
trao đổi góp ý tư vấn cho,1,1,1,1,1.0
được nêu ý kiến bởi,1,1,1,1,1.0
nhắm nâng cao,1,1,1,1,1.0
được đề xuất thông qua,1,1,1,1,1.0
nhận chuyển tới,1,1,1,1,1.0
được tóm lược bởi,1,1,1,1,1.0
được định hướng như,1,1,1,1,1.0
đạt giải Nhất,1,1,1,1,1.0
tham gia sản phẩm,1,1,1,1,1.0
đạt giải Ba,1,1,1,1,1.0
tặng giải cho,1,1,1,1,1.0
được tạo ra nhằm cung cấp giải pháp cho,1,1,1,1,1.0
cơ sở,1,1,1,1,1.0
được tư vấn để lựa chọn,1,1,1,1,1.0
được chuyển giao bởi,1,1,1,1,1.0
được chuyển giao và ứng dụng tại,1,1,1,1,1.0
hoàn toàn do,1,1,1,1,1.0
được bảo hành,1,1,1,1,1.0
được chuẩn hóa,1,1,1,1,1.0
chống chọi,1,1,1,1,1.0
được giám sát trên,1,1,1,1,1.0
ấp ủ hướng nghiên cứu,1,1,1,1,1.0
nghiên cứu và phát triển cho,1,1,1,1,1.0
tạo giá trị cho,1,1,1,1,1.0
đóng trong,1,1,1,1,1.0
được ứng dụng rộng rãi trong,1,1,1,1,1.0
tích hợp ngay từ,1,1,1,1,1.0
ứng dụng hướng mới để,1,1,1,1,1.0
nêu tới,1,1,1,1,1.0
tựa đề về,1,1,1,1,1.0
có nồng độ bụi PM 2.5,1,1,1,1,1.0
giúp biết,1,1,1,1,1.0
được đo ở,1,1,1,1,1.0
là dữ liệu,1,1,1,1,1.0
dự kiến công bố vào,1,1,1,1,1.0
dự kiến công bố,1,1,1,1,1.0
thuộc chuyên mục của,1,1,1,1,1.0
có hai giải pháp,1,1,1,1,1.0
là bài toán lớn của,1,1,1,1,1.0
để hỗ trợ,1,1,1,1,1.0
để xử lý,1,1,1,1,1.0
cản trở,1,1,1,1,1.0
là hệ thống đánh giá,1,1,1,1,1.0
là hệ thống quản lý,1,1,1,1,1.0
hỗ trợ xử lý rủi ro ATTT theo,1,1,1,1,1.0
thực hiện từ pha,1,1,1,1,1.0
đến pha,1,1,1,1,1.0
gợi ý xây dựng,1,1,1,1,1.0
làm tiền đề,1,1,1,1,1.0
đề xuất sử dụng,1,1,1,1,1.0
được tối ưu,1,1,1,1,1.0
được kiểm tra với,1,1,1,1,1.0
gây tăng,1,1,1,1,1.0
nâng cao chất lượng,1,1,1,1,1.0
tạo bài vào,1,1,1,1,1.0
cấp bằng độc quyền sáng chế,1,1,1,1,1.0
có tốc độ xử lý trung bình,1,1,1,1,1.0
được vận hành vào,1,1,1,1,1.0
không có cảm giác phải chờ đợi nhiều,1,1,1,1,1.0
đáp ứng tốt với,1,1,1,1,1.0
được quản lý và giám sát bằng,1,1,1,1,1.0
được xếp hạng liên tục trong,1,1,1,1,1.0
là người viết,1,1,1,1,1.0
tiêu thụ,1,1,1,1,1.0
được phép ghi,1,1,1,1,1.0
hiện tại là,1,1,1,1,1.0
được tiếp tục mở rộng bởi,1,1,1,1,1.0
sẵn sàng hợp tác với,1,1,1,1,1.0
là bản cải tiến của,1,1,1,1,1.0
nhanh hơn,1,1,1,1,1.0
chính xác hơn,1,1,1,1,1.0
tính nhanh,1,1,1,1,1.0
được cải tiến nhờ,1,1,1,1,1.0
hỗ trợ phân tích,1,1,1,1,1.0
tiến hành nghiên cứu,1,1,1,1,1.0
được ký ban hành theo,1,1,1,1,1.0
được ký ban hành bởi,1,1,1,1,1.0
có tác giả khác,1,1,1,1,1.0
làm việc cùng với,1,1,1,1,1.0
tham gia công bố,1,1,1,1,1.0
được trao theo,1,1,1,1,1.0
ra đời để,1,1,1,1,1.0
là công cụ,1,1,1,1,1.0
đang được sử dụng thử nghiệm tại,1,1,1,1,1.0
